wled_index,nx,ny,r
175,-0.4914,-0.3071,0.5795
176,-0.4300,-0.4300,0.6081
177,-0.3071,-0.4914,0.5795
178,-0.2457,-0.5529,0.6050
179,-0.1229,-0.6143,0.6265
180,0.0000,-0.4914,0.4914
181,0.1229,-0.4914,0.5066
182,0.2457,-0.4300,0.4953
183,0.3071,-0.3686,0.4798
184,0.4300,-0.2457,0.4953
185,0.4914,-0.1229,0.5066
186,0.4914,0.0000,0.4914
187,0.4914,0.1229,0.5066
188,0.4300,0.2457,0.4953
189,0.3686,0.3071,0.4798
190,0.2457,0.4300,0.4953
191,0.1229,0.4914,0.5066
192,0.0000,0.4914,0.4914
193,-0.1229,0.4914,0.5066
194,-0.2457,0.4300,0.4953
195,-0.3686,0.3071,0.4798
196,-0.4300,0.2457,0.4953
197,-0.4914,0.1229,0.5066
198,-0.4914,0.0000,0.4914
199,-0.4914,-0.1229,0.5066
200,-0.4300,-0.2457,0.4953
201,-0.3071,-0.3686,0.4798
202,-0.2457,-0.4300,0.4953
203,-0.1229,-0.4914,0.5066
204,0.0000,-0.3686,0.3686
205,0.1229,-0.3686,0.3885
206,0.2457,-0.2457,0.3475
207,0.3071,-0.1229,0.3308
208,0.3686,0.0000,0.3686
209,0.3071,0.1229,0.3308
210,0.2457,0.2457,0.3475
211,0.1229,0.3071,0.3308
212,0.0000,0.3686,0.3686
213,-0.1229,0.3071,0.3308
214,-0.2457,0.2457,0.3475
215,-0.3686,0.1229,0.3885
216,-0.3686,0.0000,0.3686
217,-0.3071,-0.1229,0.3308
218,-0.2457,-0.2457,0.3475
219,-0.1229,-0.3686,0.3885
220,0.0000,-0.2457,0.2457
221,0.1229,-0.1843,0.2215
222,0.1843,-0.1229,0.2215
223,0.2457,0.0000,0.2457
224,0.1843,0.1229,0.2215
225,0.1229,0.1843,0.2215
226,0.0000,0.2457,0.2457
227,-0.1229,0.1843,0.2215
228,-0.1843,0.1229,0.2215
229,-0.2457,0.0000,0.2457
230,-0.1843,-0.1229,0.2215
231,-0.1229,-0.1843,0.2215
232,0.0000,-0.1229,0.1229
233,0.0614,-0.0614,0.0869
234,0.1229,0.0000,0.1229
235,0.0614,0.0614,0.0869
236,0.0000,0.1229,0.1229
237,-0.0614,0.0614,0.0869
238,-0.1229,0.0000,0.1229
239,-0.0614,-0.0614,0.0869
240,0.0000,0.0000,0.0000
